report_id,kind,company,stock_code,year,title,source_site,source_url,pdf_url,local_path,published_at,downloaded_at,sha256,file_size,pages,status,error,source_tier,source_type
annual_688008_2025,annual,澜起科技,688008,2025,澜起科技2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=688008&announcementId=1225057736&orgId=9900039002&announcementTime=1774886400000,https://static.cninfo.com.cn/finalpage/2026-03-31/1225057736.PDF,data/raw_pdfs/annual/澜起科技_2025年报.pdf,2026-03-31,2026-05-15T23:11:40+08:00,f443d9e6b46c8b9136a59527442c465482404c170d43d697ef0bb12b9ee1535a,3717668,248,downloaded,,1,company_annual_report
research_AP202605141822321825,research,,,2026,电子行业专题报告：DeepSeek V4发布，国产算力乘风起航,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202605141822321825,https://pdf.dfcfw.com/pdf/H3_AP202605141822321825_1.pdf,data/raw_pdfs/research/AI算力产业链研报_06_爱建证券_20260514_电子行业专题报告：DeepSeekV4发布，国产算力乘风起航.pdf,2026-05-14,2026-05-15T23:13:09+08:00,e1f57ac123c34c1d5039cea1797dd56ef55541a9103102c483d97884954400a4,1609237,15,downloaded,,2,broker_research
research_AP202404021629415823,research,,,2024,算力深度报告一：算力研究框架-产业链全梳理,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202404021629415823,https://pdf.dfcfw.com/pdf/H3_AP202404021629415823_1.pdf,data/raw_pdfs/research/AI算力产业链研报_07_国金证券_20240402_算力深度报告一：算力研究框架-产业链全梳理.pdf,2024-04-02,2026-05-15T23:13:10+08:00,d5b5a6de7fc5cbc9bd8109f72e0e654668144e5566d221537f9f9ea41df471ed,5695102,41,downloaded,,2,broker_research_seed
research_AP202605131822271646,research,,,2026,通信行业2025年报及2026年一季报业绩综述：算力红利全面兑现，AI产业链业绩高增,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202605131822271646,https://pdf.dfcfw.com/pdf/H3_AP202605131822271646_1.pdf,data/raw_pdfs/research/AI算力产业链研报_08_东莞证券_20260513_通信行业2025年报及2026年一季报业绩综述：算力红利全面兑现，AI产.pdf,2026-05-13,2026-05-15T23:13:11+08:00,c28e84ca0f93a570f44d45ade25683d80f30c148a3c6876bb8dbf1df079291f2,924834,18,downloaded,,2,broker_research
research_AP202605111822176358,research,,,2026,电子行业周报：AI驱动产业链持续发展，看好自主可控及算力板块,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202605111822176358,https://pdf.dfcfw.com/pdf/H3_AP202605111822176358_1.pdf,data/raw_pdfs/research/AI算力产业链研报_09_华源证券_20260511_电子行业周报：AI驱动产业链持续发展，看好自主可控及算力板块.pdf,2026-05-11,2026-05-15T23:13:12+08:00,de853d2e91bc2d12a70b04fba0adb2de7b23fd5af9772eac36273c2d63551427,1285382,10,downloaded,,2,broker_research
research_AP202605101822125094,research,,,2026,国产算力周跟踪：CPU景气度持续向上，Scale Up Switch产业趋势如火如荼,东方财富研报,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202605101822125094,https://pdf.dfcfw.com/pdf/H3_AP202605101822125094_1.pdf,data/raw_pdfs/research/AI算力产业链研报_10_东吴证券_20260510_国产算力周跟踪：CPU景气度持续向上，ScaleUpSwitch产业趋势.pdf,2026-05-10,2026-05-15T23:13:13+08:00,88652cf806c1ef9e90657c6c17c33aa9e8554a9065b80ac136e2a46edfc56f4f,515636,3,downloaded,,2,broker_research
industry_caict_green_compute_2025,industry,,,2025,绿色算力发展研究报告（2025年）,中国信通院,https://gma.caict.ac.cn/plat/news/full-collection-of-blue-books-and-report-published-by-caict-in-2025,https://www.caict.ac.cn/kxyj/qwfb/ztbg/202507/P020250724397149741659.pdf,data/raw_pdfs/industry/AI算力行业知识_2025_绿色算力发展研究报告（2025年）.pdf,2025-07,2026-05-15T23:14:30+08:00,59947f86430a799f8fd7aaab79387bc96aad825fa7a7c9e480bc7954feb20e88,2754559,69,downloaded,,1,authority_whitepaper
industry_caict_compute_service_provider_2025,industry,,,2025,算力中心服务商分析报告（2025年）,中国信通院,https://gma.caict.ac.cn/plat/news/full-collection-of-blue-books-and-report-published-by-caict-in-2025,https://www.caict.ac.cn/kxyj/qwfb/ztbg/202507/P020250707617798232823.pdf,data/raw_pdfs/industry/AI算力行业知识_2025_算力中心服务商分析报告（2025年）.pdf,2025-07,2026-05-15T23:14:32+08:00,046e6559f07a15e7745678fb869b5c08b60841cc83e05dbf8383481010ba3fc1,1765726,34,downloaded,,1,authority_whitepaper
industry_caict_compute_power_coordination_2025,industry,,,2025,算力电力协同发展研究报告（2025年）,中国信通院,https://gma.caict.ac.cn/plat/news/full-collection-of-blue-books-and-report-published-by-caict-in-2025,https://www.caict.ac.cn/kxyj/qwfb/ztbg/202505/P020250509511369626787.pdf,data/raw_pdfs/industry/AI算力行业知识_2025_算力电力协同发展研究报告（2025年）.pdf,2025-05,2026-05-15T23:14:34+08:00,4454b911225e042866b50ad66d5327b76e3de03fa1f44fae86c5fbc11eb22b7f,1619835,36,downloaded,,1,authority_whitepaper
industry_caict_advanced_compute_index_2024,industry,,,2024,先进计算暨算力发展指数蓝皮书（2024年）,中国信通院,https://www.caict.ac.cn/kxyj/qwfb/bps/202501/P020250117503621662777.pdf,https://www.caict.ac.cn/kxyj/qwfb/bps/202501/P020250117503621662777.pdf,data/raw_pdfs/industry/AI算力行业知识_2024_先进计算暨算力发展指数蓝皮书（2024年）.pdf,2025-01,2026-05-15T23:14:37+08:00,5e8cc2b2f5907ae2fc7ab6a6a8a188181706f05b5fbfdf86d9992bf2e5a23844,3385736,51,downloaded,,1,authority_whitepaper
industry_caict_data_center_2022,industry,,,2022,数据中心白皮书（2022年）,中国信通院,https://www.caict.ac.cn/kxyj/qwfb/bps/202204/P020220422707354529853.pdf,https://www.caict.ac.cn/kxyj/qwfb/bps/202204/P020220422707354529853.pdf,data/raw_pdfs/industry/AI算力行业知识_2022_数据中心白皮书（2022年）.pdf,2022-04,2026-05-15T23:14:39+08:00,f8e886706301de0e8e3c3ba71d64201f19af093a7c8c75b345675b269291733e,2174924,46,downloaded,,1,authority_whitepaper
industry_caict_ai_core_technology_2021,industry,,,2021,人工智能核心技术产业白皮书,中国信通院,https://www.caict.ac.cn/kxyj/qwfb/bps/202104/P020210420614092578238.pdf,https://www.caict.ac.cn/kxyj/qwfb/bps/202104/P020210420614092578238.pdf,data/raw_pdfs/industry/AI算力行业知识_2021_人工智能核心技术产业白皮书.pdf,2021-04,2026-05-15T23:14:41+08:00,0427871d792b452ef28fd52b13eb1b6b95ca5417cf562d34695d2f6f988b28c4,1961484,45,downloaded,,1,authority_whitepaper
